CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04035,,,FAJA DE TORAX GRANDE 103 CM,Unidad,Almacenable,144,,C,," ₡9,800.00 ",20%," 1,960.00 ",0%,7840.00,FAJA TORACICAXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04034,,,FAJA DE TORAX MEDIANA 88 CM,Unidad,Almacenable,345,,C,," ₡9,800.00 ",20%," 1,960.00 ",0%,7840.00,FAJA TORACICAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04082,,,FAJA SACRO LUMBAR EXTRAGRANDE,Unidad,Almacenable,40,,C,," ₡22,400.00 ",20%," 4,480.00 ",0%,17920.00,FAJA SACRO LUMBAR EXTRAGRANDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04081,,,FAJA SACRO LUMBAR GRANDE,Unidad,Almacenable,112,,C,," ₡22,400.00 ",20%," 4,480.00 ",0%,17920.00,FAJA SACRO LUMBAR GRANDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04080,,,FAJA SACRO LUMBAR MEDIANA,Unidad,Almacenable,197,,C,," ₡22,400.00 ",20%," 4,480.00 ",0%,17920.00,FAJA SACRO LUMBAR MEDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08017,,,FERULA INMOVILIZADORA DE MUÑECA,Unidad,Almacenable,76,,C,," ₡9,800.00 ",20%," 1,960.00 ",0%,7840.00,INMOVILIZADOR DE MUÑECA CON FERULA AMBIDIESTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08018,,,FERULA PARA PIES DE ENCAMADOS ,Unidad,Almacenable,22,,C,," ₡23,100.00 ",20%," 4,620.00 ",0%,18480.00,TOBILLERA INMOVILIZADOR BLUNDING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08016,,,FERULA PARA TENDINITIS,Unidad,Almacenable,8,,C,," ₡6,300.00 ",20%," 1,260.00 ",0%,5040.00,FIJADOR DEDO PULGAR AMBIDIESTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01189,,,GEL HIDROCOLOIDE,Unidad,Almacenable,761,,B,," ₡4,113.00 ",25%," 1,028.25 ",0%,3084.75,KEMAGEL GEL HIDROCOLOIDE 30 GRS 0932 UND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01620,,,GEL HIDROCOLOIDE CON ALGINATO Y PLATA,Unidad,Almacenable,75,,C,," ₡3,615.00 ",20%, 723.00 ,0%,2892.00,PARCHE PHARMACOLL AG HIDROCOLOIDE DELGADO CON PLATA 10X10CM 5500 UND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03659,no disponible,,GUANTES  AMBIDIESTROS  7 1/2 (M) - LIBRE /LATEX,Unidad,Almacenable,28301,,A,," ₡2,942.00 ",30%, 882.60 ,0%,2059.40,GUANTES LATEX SAFINA MEDIANO S/TALCO X 100 UNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01085,no disponible,,GUANTES PARA EXPLORACIÓN (AMBIDIESTROS) 7 1/2 TALLA ,Unidad,Almacenable,75900,,A,, no disponible ,30%,#VALUE!,0%,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04108,,,INMOVILIZADOR DE RODILLA TALLA M,Unidad,Almacenable,4,,C,," ₡22,400.00 ",20%," 4,480.00 ",0%,17920.00,INMOVILIZADOR DE RODILLA TALLA M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01527,no disponible,,INSPIROMETRO INCENTIVO,Unidad,Almacenable,117,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM02052,,,JERINGA DE ASEPTO,Unidad,Almacenable,329,,C,," ₡1,239.00 ",20%, 247.80 ,0%,991.20, JERINGA ASEPTO KENDALL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM02055,,,JERINGA HIPODERMICA DESCART. 3 CC.,Unidad,Almacenable,2201,,C,dividir, ₡65.00 ,20%, 13.00 ,0%,52.00,JERINGA NIPRO  3 CC 22GX1 1/2  X 100 UNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM02058,,,JERINGA HIPODERMICA DESCART. 5 CC.,Unidad,Almacenable,461,,C,dividir, ₡65.00 ,20%, 13.00 ,0%,52.00,JERINGA 5CC 22X11/2 ADULTO NIPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM02067,,,JERINGA HIPODERMICA DESCART. INSULINA 100 UD,Unidad,Almacenable,2705,,C,dividir, ₡80.00 ,20%, 16.00 ,0%,64.00,JERINGA INSULINA 29*1/2 NIPRO *100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01334,,,MASCARILLA NEBULIZAC TRAQUEOSTOMIA  ADULTO ,Unidad,Almacenable,106,,C,," ₡1,400.00 ",20%, 280.00 ,0%,1120.00,MASCARILLA TRAQUEOTOMIA CARE FUSION ADULTO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03091,,,MASCARILLA SISTEMA DE NEBULIZACIÓN,Unidad,Almacenable,120,,C,," ₡2,520.00 ",20%, 504.00 ,0%,2016.00,MICRONEBULIZADOR ADULTO ROSPITAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04125,,,MULETAS DE ALUMINIO DE 110 CM A 150 CM,Unidad,Almacenable,10684,,A,," ₡19,320.00 ",30%," 5,796.00 ",0%,13524.00,MULETAS ALUMINIO MEDIANA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04040,,,MUÑEQUERA,Unidad,Almacenable,1304,,B,," ₡3,080.00 ",25%, 770.00 ,0%,2310.00,MUÑEQUERA SIMPLE AMBIESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04030,,,MUÑEQUERA GRANDE PARA MANO AMBIDIESTRA,Unidad,Almacenable,129,,B,," ₡8,400.00 ",25%," 2,100.00 ",0%,6300.00,MUÑEQUERA ORTOPEDICA AMBIDIESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04029,,,MUÑEQUERA MEDIANA AMBIDIESTRA,Unidad,Almacenable,378,,B,," ₡8,400.00 ",25%," 2,100.00 ",0%,6300.00,MUÑEQUERA ORTOPEDICA AMBIDIESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03094,,,ORINAL PLÁSTICO,Unidad,Almacenable,68,,C,," ₡2,380.00 ",20%, 476.00 ,0%,1904.00,CACHO PARA ORINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03840,,,PRESERVAT MASC UNA PIEZA SILICONE 36 MM,Unidad,Almacenable,4083,,B,," ₡1,960.00 ",25%, 490.00 ,0%,1470.00,CONDON URINARIO BARD ULTRAFLEX SILICON LARGE 36MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03106,,,PRESERVATIVO ESPECIAL UNA PIEZA DE LÁTEX 35 MM,Unidad,Almacenable,7423,,B,," ₡1,400.00 ",25%, 350.00 ,0%,1050.00,CONDON URINARIO MEDLINE  LATEX ADULTO 35MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03103,,,PRESERVATIVO ESPECIAL UNA PIEZA DE SILICONE 32 MM,Unidad,Almacenable,31380,,B,," ₡1,960.00 ",25%, 490.00 ,0%,1470.00,CONDON URINARIO BARD ULTRAFLEX SILICON MEDIANO 32MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04043,,,RODILLERA ELÁSTICA GRANDE,Unidad,Almacenable,913,,C,," ₡4,620.00 ",20%, 924.00 ,0%,3696.00,RODILLERA  BAMBU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04046,,,RODILLERA ELÁSTICA MEDIANA,Unidad,Almacenable,2582,,B,," ₡4,620.00 ",25%," 1,155.00 ",0%,3465.00,RODILLERA BAMBU BE 03M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04049,,,RODILLERA ELÁSTICA PEQUEÑA,Unidad,Almacenable,814,,C,," ₡4,620.00 ",20%, 924.00 ,0%,3696.00,RODILLERA  BAMBU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08038,,,RODILLERA ESTABILIZADORA TALLA L,Unidad,Almacenable,8,,C,," ₡28,000.00 ",20%," 5,600.00 ",0%,22400.00,RODILLERA ESTABILIZADORA SPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08037,,,RODILLERA ESTABILIZADORA TALLA M,Unidad,Almacenable,6,,C,," ₡28,000.00 ",20%," 5,600.00 ",0%,22400.00,RODILLERA ESTABILIZADORA SPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08009,,,RODILLERA ESTABILIZADORA TALLA S,Unidad,Almacenable,3,,C,," ₡28,000.00 ",20%," 5,600.00 ",0%,22400.00,RODILLERA ESTABILIZADORA SPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04058,,,TOBILLERA ELÁSTICA GRANDE,Unidad,Almacenable,700,,C,," ₡4,620.00 ",20%, 924.00 ,0%,3696.00,TOBILLERA BAMBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04061,,,TOBILLERA ELÁSTICA MEDIANA,Unidad,Almacenable,2293,,C,," ₡4,620.00 ",20%, 924.00 ,0%,3696.00,TOBILLERA BAMBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04064,,,TOBILLERA ELÁSTICA PEQUEÑA,Unidad,Almacenable,980,,C,," ₡4,620.00 ",20%, 924.00 ,0%,3696.00,TOBILLERA BAMBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04073,,,VENDA ELÁSTICA 10 CM,Unidad,Almacenable,1226,,C,," ₡3,122.56 ",20%, 624.51 ,0%,2498.05,"VENDA ELASTICA SURQUI SQ 4"" X 4.5 MTS 0753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04076,,,VENDA ELÁSTICA 15 CM,Unidad,Almacenable,718,,C,," ₡4,691.40 ",20%, 938.28 ,0%,3753.12,"VENDA ELASTICA SURQUI SQ 6"" X 4.67 MTS 0760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04067,,,VENDA ELÁSTICA 5 CM,Unidad,Almacenable,366,,C,," ₡1,904.00 ",20%, 380.80 ,0%,1523.20,"VENDA ELASTICA SURQUI SQ 2"" X 4.67 MTS 0739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04041,,,WATSON JOHNES,Unidad,Almacenable,627,,C,," ₡16,800.00 ",20%," 3,360.00 ",0%,13440.00,INMOVILIZADOR DE HOMBRO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
